3	0.1707	111.524	108.265
2	0.32883	102.033	98.729
1	0.41717	486.17	483.027
1	0.42063	194.256	190.512
1	0.35791	464.419	455.458
2	0.35446	173.114	169.523
2	0.29833	726.104	491.638
1	0.30632	329.544	303.048
1	0.44524	447.9	442.501
3	0.34956	538.389	531.055
1	0.4201	118.215	113.426
1	0.10965	8562.984	277.942
3	0.31622	166.256	160.959
3	0.18101	752.139	285.517
3	0.26683	747.44	552.194
1	0.35924	168.815	159.429
3	0.21846	619.895	460.3
1	0.20479	597.842	497.679
2	0.32286	159.465	154.641
1	0.09862	8311.05	404.319
1	0.12587	712.237	48.73
3	0.37573	190.571	180.039
1	0.17627	2283.329	956.794
3	0.31038	219.921	202.657
1	0.38027	158.778	150.107
3	0.36069	142.501	128.481
3	0.21324	873.104	523.619
2	0.24384	818.619	689.679
1	0.45209	173.393	162.993
1	0.47056	337.545	328.692
3	0.32735	437.759	431.429
2	0.28293	920.723	822.447
1	0.11333	8413.562	421.268
3	0.30785	385.473	371.191
1	0.58203	118.463	109.607
2	0.02065	10105.233	597.366
3	0.2268	618.1	418.669
2	0.15087	5454.423	683.13
3	0.50375	326.096	313.6
2	0.75974	518.354	512.208
3	0.31035	240.557	229.54
2	0.54979	282.707	273.251
1	0.10696	3738.067	164.12
1	0.1025	4668.735	95.788
1	0.1316	5629.635	600.303
2	0.03401	9440.249	395.963
3	0.44524	151.168	141.202
3	0.11466	5781.389	244.576
2	0.18622	353.542	342.308
1	0.08013	2322.792	168.786
1	0.14503	6145.366	528.242
1	0.27688	182.504	173.4
1	0.08832	8262.117	207.758
2	0.60658	160.332	154.839
3	0.19371	635.145	551.579
3	0.06561	4960.948	166.623
1	0.29674	622.188	603.883
3	0.35248	160.984	154.556
1	0.37926	555.846	549.214
2	0.18518	746.259	533.083
1	0.27762	153.237	141.327
3	0.2451	484.162	469.531
1	0.24589	257.961	240.878
2	0.10492	6737.45	891.817
3	0.31819	275.475	264.616
2	0.06408	6440.52	521.347
2	0.48307	268.219	254.204
3	0.28404	575.805	565.06
3	0.16399	5354.476	1119.95
3	0.07748	5139.972	277.556
3	0.20172	3471.711	835.985
2	0.48076	652.719	627.367
2	0.66489	538.271	526.977
3	0.56252	245.942	233.535
3	0.0507	6854.318	544.493
1	0.48772	562.416	554.629
2	0.13593	4670.955	158.148
1	0.72194	551.555	543.282
1	0.38064	258.481	227.503
2	0.17595	5002.501	869.583
3	0.39234	725.517	603.308
2	0.25004	1404.443	733.519
3	0.63214	308.87	299.482
3	0.48398	284.803	268.239
2	0.37318	786.881	300.162
3	0.36379	483.497	131.229
2	0.24152	1020.477	388.461
1	0.37719	891.373	544.205
3	0.14039	6603.44	376.415
1	0.23344	1286.794	480.545
2	0.50126	270.738	258.819
2	0.38402	542.464	350.592
2	0.13637	6660.81	512.97
3	0.51635	260.695	247.825
3	0.19688	3196.164	598.975
2	0.43694	433.152	388.531
1	0.05947	3383.461	479.105
1	0.22677	2096.474	806.736
3	0.24847	904.743	579.513
3	0.04746	6086.022	259.477
1	0.26806	592.358	557.822
3	0.23441	326.92	224.99
2	0.13278	3607.539	443.798
2	0.11673	3662.032	152.764
2	0.29384	132.529	119.374
3	0.1578	5469.242	504.371
1	0.21544	1693.963	358.791
3	0.28258	155.462	142.877
3	0.21004	2640.04	876.53
